objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7939566",5G NR,Heerde,2020/04/01,2020/04/15,5G NR,Heerde,200192,489003,8181SB,2050723151
"7939567",5G NR,Almere,2020/11/06,2020/11/20,5G NR,Almere,148809,488816,1339LB,2141550057
"7939568",5G NR,Amsterdam,2020/04/02,2020/04/16,5G NR,Amsterdam,123537,488939,1022WZ,6834729632
"7939569",5G NR,Amsterdam,2020/03/25,2020/04/08,5G NR,Amsterdam,120603,489008,1013ND,5414633945
"7939570",5G NR,Almere,2020/03/27,2020/04/10,5G NR,Almere,145646,488970,1318EE,7351857612
"7939571",5G NR,Haarlem,2020/03/25,2020/04/08,5G NR,Haarlem,102340,489250,2015CG,6342831919
"7939572",5G NR,Amsterdam,2020/08/08,2020/08/22,5G NR,Amsterdam,122048,489213,1031HL,9683730539
"7939573",5G NR,Raalte,2020/04/01,2020/04/15,5G NR,Raalte,215619,489478,8102BA,9799920089
"7939863",5G NR,Zoetermeer,2020/03/25,2020/04/08,5G NR,Zoetermeer,94001,452998,2711CA,6627821121
"7939864",5G NR,Driebergen,2020/05/27,2020/06/10,5G NR,Utrechtse Heuvelrug,149312,452684,3971BX,3005286053
"7939865",5G NR,Den Haag,2020/03/25,2020/04/08,5G NR,'s-Gravenhage,78560,453289,2574AL,3877231693
"7939866",5G NR,Den Haag,2020/04/02,2020/04/16,5G NR,'s-Gravenhage,82675,453250,2516HT,3181377691
"7939867",5G NR,Den Haag,2020/04/01,2020/04/15,5G NR,'s-Gravenhage,77908,453343,2547JH,6337802471
"7939868",5G NR,Den Haag,2020/03/27,2020/04/10,5G NR,'s-Gravenhage,83497,453274,2516AA,1331494429
"7939869",5G NR,Bunnik,2021/03/31,2021/04/14,5G NR,Bunnik,141237,452805,3981AS,8069700280
"7939870",5G NR,Linschoten,2021/10/07,2021/10/21,5G NR,Montfoort,123320,452924,3461GP,4000567559
"7939871",5G NR,Zoetermeer,2020/05/02,2020/05/16,5G NR,Zoetermeer,95161,453192,2724NA,7309143720
"7939872",5G NR,Utrecht,2020/05/15,2020/05/29,5G NR,Utrecht,137177,452866,3524WZ,7688922991
"7939873",5G NR,Utrecht,2020/05/02,2020/05/16,5G NR,Utrecht,138300,452920,3524SJ,1992294160
"7939874",5G NR,Zoetermeer,2020/03/20,2020/04/03,5G NR,Zoetermeer,94052,453272,2711GB,2888146676
"7939875",5G NR,Driebergen-Rijsenburg,2020/04/16,2020/04/30,5G NR,Utrechtse Heuvelrug,150627,452939,3941ZH,7578308726
